6:epoch:899 | loss:0.0001 | MAE:0.0065 | RMSE:0.0098 | RE:0.0000
6:epoch:999 | loss:0.0001 | MAE:0.0063 | RMSE:0.0092 | RE:0.0000
7:epoch:99 | loss:0.0007 | MAE:0.0162 | RMSE:0.0268 | RE:1.0000
7:epoch:199 | loss:0.0006 | MAE:0.0152 | RMSE:0.0242 | RE:1.0000
7:epoch:299 | loss:0.0005 | MAE:0.0145 | RMSE:0.0221 | RE:1.0000
7:epoch:399 | loss:0.0004 | MAE:0.0138 | RMSE:0.0208 | RE:1.0000
7:epoch:499 | loss:0.0004 | MAE:0.0131 | RMSE:0.0197 | RE:1.0000
7:epoch:599 | loss:0.0003 | MAE:0.0119 | RMSE:0.0180 | RE:1.0000
7:epoch:699 | loss:0.0003 | MAE:0.0106 | RMSE:0.0159 | RE:1.0000
7:epoch:799 | loss:0.0002 | MAE:0.0097 | RMSE:0.0144 | RE:0.0016
7:epoch:899 | loss:0.0002 | MAE:0.0109 | RMSE:0.0151 | RE:0.0016
7:epoch:999 | loss:0.0001 | MAE:0.0071 | RMSE:0.0110 | RE:0.0016
8:epoch:99 | loss:0.0007 | MAE:0.0160 | RMSE:0.0267 | RE:1.0000
8:epoch:199 | loss:0.0006 | MAE:0.0148 | RMSE:0.0240 | RE:1.0000
8:epoch:299 | loss:0.0005 | MAE:0.0140 | RMSE:0.0216 | RE:1.0000
8:epoch:399 | loss:0.0004 | MAE:0.0130 | RMSE:0.0198 | RE:1.0000
8:epoch:499 | loss:0.0003 | MAE:0.0113 | RMSE:0.0175 | RE:1.0000
8:epoch:599 | loss:0.0002 | MAE:0.0099 | RMSE:0.0155 | RE:1.0000
8:epoch:699 | loss:0.0002 | MAE:0.0083 | RMSE:0.0133 | RE:0.0016
8:epoch:799 | loss:0.0002 | MAE:0.0078 | RMSE:0.0125 | RE:0.0016
8:epoch:899 | loss:0.0001 | MAE:0.0068 | RMSE:0.0109 | RE:0.0032
9:epoch:99 | loss:0.0007 | MAE:0.0159 | RMSE:0.0260 | RE:1.0000
9:epoch:199 | loss:0.0005 | MAE:0.0145 | RMSE:0.0228 | RE:1.0000
9:epoch:299 | loss:0.0004 | MAE:0.0137 | RMSE:0.0204 | RE:1.0000
9:epoch:399 | loss:0.0004 | MAE:0.0131 | RMSE:0.0189 | RE:1.0000
9:epoch:499 | loss:0.0003 | MAE:0.0116 | RMSE:0.0167 | RE:0.0000
